Date,NIFTY,RELIANCE,SBI,HDFC
2022-01-20,17757.0,2477.45,511.4,1509.0
2022-01-19,17938.4,2521.6,515.8,1518.45
2022-01-18,18113.05,2521.8,506.8,1529.25
2022-01-17,18308.1,2552.25,514.0,1521.5
2022-01-14,18255.75,2539.0,508.35,1545.15
2022-01-13,18257.8,2535.3,511.35,1528.0
2022-01-12,18212.35,2521.1,510.25,1556.65
2022-01-11,18055.75,2455.55,505.95,1565.9
2022-01-10,18003.3,2438.0,503.65,1559.15
2022-01-07,17812.7,2436.0,491.25,1550.55
2022-01-06,17745.9,2416.5,491.7,1539.75
2022-01-05,17925.25,2469.6,492.4,1564.85
2022-01-04,17805.25,2458.1,483.5,1528.55
2022-01-03,17625.7,2403.85,470.8,1519.65
2021-12-31,17354.05,2368.15,460.45,1479.4
2021-12-30,17203.95,2359.1,451.7,1461.5
2021-12-29,17213.6,2402.5,454.4,1453.85
2021-12-28,17233.25,2398.4,461.2,1460.8
2021-12-27,17086.25,2370.25,458.05,1450.8
2021-12-24,17003.75,2372.8,456.95,1438.9
2021-12-23,17072.6,2365.25,461.8,1444.1
2021-12-22,16955.45,2366.1,455.85,1445.2
2021-12-21,16770.85,2311.25,446.0,1441.8
2021-12-20,16614.2,2277.35,449.2,1425.65
2021-12-17,16985.2,2340.45,467.8,1473.05
2021-12-16,17248.4,2403.9,481.15,1500.1
2021-12-15,17221.4,2373.2,484.8,1500.0
2021-12-14,17324.9,2380.15,488.55,1502.45
2021-12-13,17368.25,2409.65,487.8,1511.15
2021-12-10,17511.3,2458.95,494.7,1522.55
2021-12-09,17516.85,2456.45,488.65,1526.85
2021-12-08,17469.75,2418.1,491.55,1553.8
2021-12-07,17176.7,2381.85,476.7,1525.7
2021-12-06,16912.25,2362.6,465.3,1503.8
2021-12-03,17196.7,2408.25,473.15,1513.55
2021-12-02,17401.65,2482.85,477.0,1525.75
2021-12-01,17166.9,2467.0,475.3,1504.65
2021-11-30,16983.2,2405.4,460.55,1493.55
2021-11-29,17053.95,2441.5,465.1,1501.25
2021-11-26,17026.45,2412.6,470.5,1489.9
2021-11-25,17536.25,2492.95,490.55,1525.95
2021-11-24,17415.05,2351.4,493.15,1518.05
2021-11-23,17503.35,2385.85,493.05,1515.55
2021-11-22,17416.55,2363.75,486.4,1515.35
2021-11-18,17764.8,2473.3,503.8,1539.4
2021-11-17,17898.65,2464.0,498.15,1530.8
2021-11-16,17999.2,2517.9,495.1,1548.0
2021-11-15,18109.45,2577.8,506.55,1557.25
2021-11-12,18102.75,2593.1,511.35,1553.0
2021-11-11,17873.6,2554.55,509.6,1548.3
2021-11-10,18017.2,2549.9,524.4,1555.25
2021-11-09,18044.25,2521.7,529.15,1572.25
2021-11-08,18068.55,2501.95,523.25,1600.25
2021-11-04,17916.8,2498.85,530.45,1593.95
2021-11-03,17829.2,2483.6,527.65,1581.45
2021-11-02,17888.95,2500.8,521.7,1606.75
2021-11-01,17929.65,2537.8,515.7,1605.3
2021-10-29,17671.65,2536.25,502.15,1582.85
2021-10-28,17857.25,2598.6,501.35,1593.6
2021-10-27,18210.95,2627.4,519.15,1642.8
2021-10-26,18268.4,2661.05,512.55,1652.75
2021-10-25,18125.4,2601.8,506.5,1657.0
2021-10-22,18114.9,2627.4,502.95,1680.75
2021-10-21,18178.1,2622.5,502.95,1676.3
2021-10-20,18266.6,2700.4,499.9,1673.85
2021-10-19,18418.75,2731.85,488.2,1688.7
2021-10-18,18477.05,2707.6,497.95,1670.3
2021-10-14,18338.55,2700.4,490.6,1687.4
2021-10-13,18161.75,2694.95,481.7,1639.4
2021-10-12,17991.95,2667.8,483.0,1629.6
2021-10-11,17945.95,2652.65,469.25,1633.8
2021-10-08,17895.2,2671.25,458.0,1602.65
2021-10-07,17790.35,2572.4,457.9,1610.5
2021-10-06,17646.0,2559.85,457.2,1614.9
2021-10-05,17822.3,2609.2,464.7,1595.45
2021-10-04,17691.25,2556.15,463.15,1585.75
2021-10-01,17532.05,2523.7,451.65,1582.7
2021-09-30,17618.15,2519.25,453.0,1594.95
2021-09-29,17711.3,2527.85,460.0,1593.85
2021-09-28,17748.6,2548.05,444.9,1615.05
2021-09-27,17855.1,2524.45,446.6,1625.1
2021-09-24,17853.2,2482.7,440.75,1601.55
2021-09-23,17822.95,2489.9,449.8,1570.0
2021-09-22,17546.65,2430.5,438.85,1533.7
2021-09-21,17562.0,2404.7,438.8,1551.95
2021-09-20,17396.9,2394.35,437.45,1559.85
2021-09-17,17585.15,2390.55,454.1,1582.15
2021-09-16,17629.5,2428.2,463.7,1559.95
2021-09-15,17519.45,2378.3,443.85,1546.8
2021-09-14,17380.0,2368.45,433.0,1548.55
2021-09-13,17355.3,2371.55,432.85,1555.55
2021-09-09,17369.25,2425.6,432.3,1568.6
2021-09-08,17353.5,2431.35,431.35,1576.4
2021-09-07,17362.1,2440.9,429.1,1569.25
