Date,Open,High,Low,Close,Adj Close,Volume
2014-06-04,730.099976,768.000000,722.599976,741.200012,713.210754,62159
2014-06-05,740.000000,749.950012,738.900024,744.250000,716.145630,26126
2014-06-06,745.650024,755.000000,741.049988,750.400024,722.063416,22995
2014-06-09,754.650024,794.900024,747.500000,776.750000,747.418274,77997
2014-06-10,775.000000,792.000000,749.000000,779.500000,750.064636,42216
2014-06-11,785.000000,786.799988,742.000000,749.049988,720.764465,33211
2014-06-12,756.000000,764.700012,733.099976,738.500000,710.612671,83501
2014-06-13,740.000000,759.849976,720.000000,738.049988,710.179688,48157
2014-06-16,736.299988,736.849976,710.099976,716.799988,689.732239,34849
2014-06-17,710.000000,721.349976,710.000000,715.000000,688.000061,25200
2014-06-18,716.299988,733.049988,689.000000,700.450012,673.999512,119040
2014-06-19,700.000000,709.900024,689.049988,703.250000,676.693909,49461
2014-06-20,698.500000,716.750000,689.000000,697.950012,671.593994,14985
2014-06-23,710.000000,712.900024,675.000000,680.700012,654.995483,30588
2014-06-24,677.000000,691.000000,673.900024,688.799988,662.789429,31811
2014-06-25,680.000000,709.500000,670.049988,672.400024,647.008850,354921
2014-06-26,677.799988,683.000000,655.000000,674.450012,648.981384,129770
2014-06-27,680.000000,695.900024,675.250000,689.349976,663.318726,69757
2014-06-30,684.000000,688.700012,670.250000,673.950012,648.500183,50758
2014-07-01,673.950012,693.900024,671.299988,674.299988,648.837097,43021
2014-07-02,680.000000,681.000000,650.049988,661.700012,636.712952,125257
2014-07-03,668.000000,668.000000,642.200012,646.950012,622.519836,30816
2014-07-04,640.500000,668.000000,640.500000,644.599976,620.258545,87137
2014-07-07,650.000000,716.900024,650.000000,708.950012,682.178589,212850
2014-07-08,711.799988,718.849976,671.450012,692.549988,666.397888,126541
2014-07-09,690.049988,698.849976,674.950012,677.549988,651.964294,39734
2014-07-10,687.799988,715.000000,674.950012,704.250000,677.655945,79709
2014-07-11,709.799988,709.799988,671.000000,677.799988,652.204956,42096
2014-07-14,685.000000,688.799988,666.950012,676.150024,650.617126,18981
2014-07-15,684.000000,700.849976,675.549988,690.250000,665.661499,58256
2014-07-16,690.250000,705.000000,690.250000,698.400024,673.521240,58717
2014-07-17,703.450012,706.049988,691.299988,699.799988,674.871155,59518
2014-07-18,700.000000,714.000000,673.400024,686.700012,662.237854,323600
2014-07-21,691.000000,704.049988,690.000000,701.400024,676.414307,141498
2014-07-22,705.000000,710.049988,686.400024,698.400024,673.521240,170525
2014-07-23,701.000000,704.950012,687.200012,692.799988,668.120850,35426
2014-07-24,699.500000,716.000000,686.000000,699.799988,674.871155,117372
2014-07-25,696.049988,708.500000,690.049988,695.650024,670.869385,144452
2014-07-28,697.000000,705.000000,697.000000,700.500000,675.546509,71907
2014-07-30,704.799988,710.000000,701.000000,704.799988,679.693237,148874
2014-07-31,706.000000,706.000000,688.000000,690.200012,665.613281,92578
2014-08-01,685.000000,703.000000,685.000000,696.700012,671.881714,55404
2014-08-04,705.950012,705.950012,689.799988,701.200012,676.221375,31165
2014-08-05,704.900024,705.000000,691.250000,698.599976,673.714111,86812
2014-08-06,700.000000,753.000000,698.599976,744.400024,717.882568,265973
2014-08-07,754.000000,754.700012,736.400024,741.450012,715.037476,59166
2014-08-08,734.000000,764.400024,729.950012,752.549988,725.742310,218358
2014-08-11,753.000000,797.000000,747.500000,780.200012,752.407349,176017
2014-08-12,789.700012,795.000000,756.700012,774.049988,746.476257,160101
2014-08-13,777.400024,782.299988,750.000000,770.049988,742.618713,38282
2014-08-14,779.549988,819.000000,775.000000,798.700012,770.248169,247608
2014-08-18,799.400024,799.400024,775.000000,782.450012,754.577332,67257
2014-08-19,781.250000,792.299988,765.500000,776.400024,748.742676,63672
2014-08-20,770.000000,780.000000,760.000000,764.000000,736.784241,31373
2014-08-21,763.099976,798.000000,761.000000,782.049988,754.191101,92747
2014-08-22,778.400024,786.049988,767.000000,779.549988,751.780334,45901
2014-08-25,772.000000,813.400024,772.000000,780.500000,752.696411,177764
2014-08-26,782.049988,819.000000,782.000000,788.750000,760.652893,144489
2014-08-27,792.500000,796.599976,760.000000,770.700012,743.245728,128655
2014-08-28,773.000000,779.849976,753.150024,756.950012,729.985413,52008
2014-09-01,760.000000,765.000000,729.000000,739.450012,713.108765,252956
2014-09-02,740.500000,786.000000,725.000000,768.650024,741.268738,926510
2014-09-03,753.000000,781.000000,750.599976,757.599976,730.612366,117844
2014-09-04,764.650024,773.450012,753.349976,765.650024,738.375610,42879
2014-09-05,775.000000,810.000000,773.150024,802.349976,773.768311,2096483
2014-09-08,809.849976,878.400024,800.150024,844.299988,814.223816,387783
2014-09-09,836.299988,977.700012,836.299988,906.950012,874.641968,690132
2014-09-10,909.000000,927.900024,861.349976,889.500000,857.813599,240202
2014-09-11,893.000000,897.849976,877.750000,893.549988,861.719360,63607
2014-09-12,888.000000,897.549988,866.900024,873.099976,841.997986,48827
2014-09-15,892.700012,895.000000,876.599976,886.349976,854.775757,57845
2014-09-16,893.750000,893.799988,833.200012,839.950012,810.028809,158528
2014-09-17,845.000000,845.000000,820.099976,829.750000,800.192078,101490
2014-09-18,830.000000,859.250000,829.500000,834.150024,804.435486,107920
2014-09-19,831.599976,900.349976,831.599976,886.150024,854.583130,558123
2014-09-22,880.000000,884.000000,864.000000,874.349976,843.203430,36348
2014-09-23,873.000000,882.950012,850.000000,851.049988,820.733398,79900
2014-09-24,851.500000,888.299988,830.000000,876.400024,845.180298,115015
2014-09-25,867.599976,893.950012,867.599976,878.549988,847.253723,76224
2014-09-26,869.799988,878.400024,851.799988,871.299988,840.261963,30411
2014-09-29,864.000000,895.900024,864.000000,880.150024,848.796753,155284
2014-09-30,876.000000,885.799988,850.000000,850.900024,820.588806,25815
2014-10-01,850.200012,877.049988,850.000000,862.450012,831.727356,21473
2014-10-07,847.000000,906.849976,847.000000,886.950012,855.354553,94832
2014-10-08,900.000000,904.900024,862.500000,881.599976,850.195068,79417
2014-10-09,875.000000,920.000000,872.799988,897.900024,865.914490,334102
2014-10-10,888.900024,900.000000,884.500000,886.250000,854.679443,113687
2014-10-13,886.000000,897.200012,879.900024,893.950012,862.105286,96648
2014-10-14,894.000000,905.900024,869.000000,872.750000,841.660339,125652
2014-10-15,872.750000,872.750000,872.750000,872.750000,841.660339,0
2014-10-16,900.000000,900.000000,842.000000,849.950012,819.672607,230597
2014-10-17,841.500000,880.000000,834.000000,837.349976,807.521423,51733
2014-10-20,848.000000,871.000000,828.000000,832.650024,802.988831,941234
2014-10-21,848.000000,902.650024,821.349976,831.900024,802.265564,282682
2014-10-22,842.000000,846.950012,832.000000,837.299988,807.473083,39918
2014-10-27,847.099976,857.700012,834.799988,838.549988,808.678589,53352
2014-10-28,835.000000,843.450012,835.000000,840.250000,810.318115,13375
2014-10-29,841.000000,862.000000,840.299988,846.599976,816.441833,67832
2014-10-30,842.200012,870.549988,842.099976,852.450012,823.055603,105830
2014-10-31,852.500000,865.000000,826.500000,843.000000,813.931519,102739
2014-11-03,842.599976,865.000000,840.849976,853.599976,824.166016,27869
2014-11-05,853.000000,909.900024,853.000000,877.099976,846.855713,255137
2014-11-07,884.000000,915.000000,871.450012,909.849976,878.476501,187658
2014-11-10,916.700012,939.900024,896.599976,918.549988,886.876526,74673
2014-11-11,920.000000,949.000000,913.000000,941.500000,909.035095,74010
2014-11-12,945.000000,960.000000,930.099976,935.450012,903.193726,141985
2014-11-13,946.950012,968.000000,923.000000,934.150024,901.938354,63132
2014-11-14,925.000000,985.200012,925.000000,967.000000,933.655762,130484
2014-11-17,963.900024,968.000000,946.650024,953.450012,920.573059,60907
2014-11-18,952.000000,959.000000,945.099976,947.700012,915.021179,35921
2014-11-19,954.000000,1015.000000,952.650024,958.099976,925.062622,180653
2014-11-20,967.599976,978.799988,920.349976,927.950012,895.952332,59815
2014-11-21,927.000000,970.000000,926.599976,961.400024,928.248840,174415
2014-11-24,964.799988,980.950012,941.349976,962.599976,929.407471,55629
2014-11-25,965.500000,995.000000,926.500000,978.750000,945.000671,204813
2014-11-26,970.599976,975.500000,950.000000,956.150024,923.179932,54237
2014-11-27,957.650024,973.849976,952.000000,956.349976,923.372925,54825
2014-11-28,950.599976,986.000000,950.599976,968.349976,934.959167,48483
2014-12-01,968.000000,976.000000,935.000000,938.799988,906.428040,37080
2014-12-02,950.000000,959.000000,931.200012,936.450012,904.159180,58964
2014-12-03,948.000000,950.000000,930.000000,934.349976,902.131592,104056
2014-12-04,935.000000,954.000000,935.000000,947.250000,914.586853,396290
2014-12-05,954.700012,957.000000,927.000000,930.799988,898.704041,17783
2014-12-08,938.049988,965.000000,931.049988,939.400024,907.007507,69419
2014-12-09,940.950012,947.000000,900.099976,914.200012,882.676331,29692
2014-12-10,895.000000,918.500000,886.599976,896.200012,865.297180,47681
2014-12-11,892.250000,901.000000,890.000000,892.299988,861.531677,96884
2014-12-12,906.000000,906.000000,880.099976,892.500000,861.724670,26295
2014-12-15,896.000000,896.950012,861.200012,871.500000,841.448730,63812
2014-12-16,862.799988,862.799988,806.349976,822.099976,793.752197,411680
2014-12-17,821.000000,849.950012,821.000000,845.299988,816.152161,147939
2014-12-18,848.000000,865.000000,848.000000,860.250000,830.586731,30206
2014-12-19,864.000000,885.000000,864.000000,870.900024,840.869568,37747
2014-12-22,877.000000,883.400024,855.049988,869.549988,839.566101,52873
2014-12-23,866.750000,870.000000,845.000000,850.500000,821.172974,94860
2014-12-24,856.000000,865.799988,838.000000,843.000000,813.931519,401144
2014-12-26,852.950012,852.950012,838.000000,847.950012,818.710999,14196
2014-12-29,847.950012,853.950012,838.549988,843.200012,814.124634,520643
2014-12-30,847.000000,856.950012,838.000000,842.250000,813.207520,12331
2014-12-31,843.500000,861.000000,843.500000,850.400024,821.076538,131547
2015-01-01,850.400024,874.000000,841.549988,855.750000,826.241882,30869
2015-01-02,861.000000,863.000000,850.000000,854.200012,824.745361,57562
2015-01-05,858.049988,859.000000,847.000000,849.450012,820.159119,22590
2015-01-06,852.000000,859.000000,830.000000,837.450012,808.572998,46100
