Date,^NSEI,RELIANCE.NS,HDFCBANK.NS,TCS.NS,ICICIBANK.NS,INFY.NS,SBIN.NS,BAJFINANCE.NS,INDHOTEL.NS,ONGC.NS,NAUKRI.NS,INR=X,JETAIRWAYS.NS,IDEA.NS,GOLD-MMIc1.MCX,SILVER-MSDc1.MCX,IND-10Y.BOND,NIFTY.FUT
2013-12-31,6304.0,416.154846,309.556946,880.756531,176.702713,335.01474,160.932373,152.403152,56.376614,122.997391,444.505798,61.779999,291.899994,99.267677,29469.0,43879.0,8.82,6354.7
2014-01-01,,413.179626,309.231537,873.153564,176.533905,333.31842,160.800278,151.347763,55.646233,122.656792,438.828583,61.803001,290.450012,99.95166,29542.0,43908.0,8.844,6358.15
2014-01-02,6221.149902,406.764343,305.442535,878.708923,172.979721,334.524567,158.755035,151.24176,53.957218,119.93206,430.890137,61.84,283.75,95.520599,29975.0,45377.0,8.84,6257.75
2014-01-03,6211.149902,401.766968,308.278473,901.09198,171.564484,342.655731,156.66423,149.921326,54.276756,117.42012,440.368225,62.060001,292.100006,96.650673,29727.0,45498.0,8.834,6251.75
2014-01-06,6191.450195,397.443665,307.627594,908.147583,167.383102,338.114319,153.79451,149.530975,54.550652,119.612747,464.809143,62.23,289.200012,94.717667,29119.0,45406.0,8.783,6229.2
2014-01-07,6162.25,391.470032,308.882843,894.58374,168.862701,332.275482,151.357529,149.78157,54.139812,117.611725,499.978821,62.310001,293.700012,96.412766,28959.0,44557.0,8.789,6195.85
2014-01-08,6174.600098,394.700928,309.022278,905.329468,169.55423,329.48349,150.970352,149.916504,53.546368,116.31321,492.906464,62.080002,288.100006,96.055893,28934.0,43882.0,8.801,6197.5
2014-01-09,6168.350098,395.467926,308.20871,909.100586,168.999359,331.665283,149.389694,149.424927,53.455078,119.336029,480.637878,62.119999,283.549988,95.431396,28997.0,44143.0,8.79,6184.45
2014-01-10,6171.450195,398.931305,307.790283,924.894409,164.761719,341.319824,146.506317,150.40802,52.724693,120.932533,478.472809,61.779999,275.350006,95.877472,29169.0,44845.0,8.758,6178.25
2014-01-13,6272.75,409.274658,312.811279,960.517334,169.650711,352.252502,149.521805,150.92366,54.596298,124.70031,480.685974,61.439999,268.700012,96.293808,29312.0,45143.0,8.711,6285.3
2014-01-14,6241.850098,409.786072,312.555573,943.487,166.683548,354.342987,148.26915,149.685181,53.135532,123.572144,478.376556,61.470001,261.850006,99.475845,29198.0,44962.0,,6256.5
2014-01-15,6320.899902,411.622253,316.391052,954.374146,170.205521,356.774719,149.471695,149.86348,54.322411,124.232071,496.803375,61.470001,268.200012,99.981407,29150.0,44825.0,8.639,6331.1
2014-01-16,6318.899902,411.947693,312.904236,953.036072,170.294006,358.024078,149.061737,152.673004,54.733246,122.167198,522.639648,61.540001,269.200012,92.814384,29168.0,44581.0,8.615,6329.85
